,title,imdb_id,budget,revenue
306,Barry Cooper's Never Get Busted Again Volume 1: Traffic Stops,-1,-1,-1
307,The Making of The Nutcracker,-1,-1,-1
308,The Wolf Knife,85957,0,0
309,A Quiet Life,422273,0,0
310,Vision,30069,0,0
311,Barry Cooper's Never Get Busted Volume 2: Never Get Raided,-1,-1,-1
312,We Are the Sea,-1,-1,-1
313,The Zen Mind,281956,0,0
314,Doc on Copy,-1,-1,-1
315,Dithers: The Cutting Edge of Underground Art from Across the Nation,533904,0,0
316,Adolescence Changes in the Coronavirus Environment. How does a teenager react to a claustrophobic pandemic?,-1,-1,-1
317,Silent Land,539614,0,0
318,Clue: A Love Thriller,-1,-1,-1
319,Darkness Binds,-1,-1,-1
320,Anonymous,535265,0,0
321,DeLorean: Living the Dream,827436,0,0
322,Sacrifice,631583,0,0
323,Shikeidai no erebêtâ,226261,0,0
324,Tortoise in Love,111374,650,0
325,Premam Poojyam,687590,0,0
326,Alien Abduction: Answers,-1,-1,-1
327,Milgram and the Fastwalkers 2,847068,0,0
328,Underdog,6589,25000000,65270477
329,A Bright and Guilty Place,-1,-1,-1
330,The Forbidden Kingdom,1729,55000000,127906624
331,"Etcetera, in the World of Mario Dondero",744652,0,0
332,Serotonin,688696,0,0
333,Serial,11592,13000000,7820688
334,Salvage,39814,0,0
335,This Time Around,57343,0,0
336,Witness Underground,829437,0,0
337,Woods Fever,-1,-1,-1
338,Dangerous Masala,-1,-1,-1
339,The Women and the Murderer,866127,0,0
340,Adultolescence,-1,-1,-1
341,Backroad,167401,275000,0
342,Black Sunshine,606824,0,0
343,Broken Springs,229453,0,0
344,Brothers in Communion,-1,-1,-1
345,Carried in the Whale,-1,-1,-1
346,Chasing Greatness,491172,0,0
347,China: The Rebirth of an Empire,670117,0,0
348,City of God's Son,-1,-1,-1
349,Damaged,316128,0,0
350,Decoding Iceland,-1,-1,-1
351,Deep Green,278783,0,0
352,Deer Xing,-1,-1,-1
353,Lilly Bell Lets Daddy Punish Her Tight Pussy,-1,-1,-1
354,Determinism,80039,0,0
355,Dirty Martini and the New Burlesque,508394,0,0
356,A Walk Worthwhile,309240,0,0
357,Dream Healing,-1,-1,-1
358,Dreams,850818,0,0
359,Exit: Una storia personale,140307,0,0
360,Exit 117,-1,-1,-1
