tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,Adult,Animation,Fantasy,Game-Show,History,Music,Musical,News,Reality-TV,Sci-Fi,Short,Sport,Talk-Show,War,Western,averageRating,numVotes,budget,revenue,isTopActor,isTopDirector
tt6854672,Battle,Battle,0,2018,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.9,4041.0,70000000,211819354,False,False
tt6857112,Us,Us,0,2019,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,261792.0,20000000,255105930,True,True
tt6857166,Book Club,Book Club,0,2018,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,27129.0,10000000,78720293,True,True
tt6864720,The Net,Nevod,0,2017,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,36.0,22000000,110627965,False,False
tt6865690,The Professor,The Professor,0,2018,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,28908.0,25000000,4957273,True,False
tt6867650,Speech,Taal is zeg maar echt mijn ding,0,2018,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,467.0,15000000,414211549,False,False
tt6877520,#wanderlust,#wanderlust,0,2017,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,8.0,35000000,24159934,False,False
tt6878882,Operation Red Sea,Hong hai xing dong,0,2018,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,6750.0,70000000,579220560,False,False
tt6886080,To the Stars,To the Stars,0,2019,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,1508.0,15000000,1338365,True,False
tt6887248,Bros.,Bros.,0,2017,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,8003.0,48000000,20915465,False,False
tt6892446,Boys Cry,La terra dell'abbastanza,0,2018,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,1613.0,2000000,11540607,False,False
tt6901956,The Guardians,The Guardians,0,2017,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,17.0,145000000,306941670,False,False
tt6902332,The Marksman,The Marksman,0,2021,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,25440.0,23000000,22039969,True,True
tt6904062,Real,Ri-eol,0,2017,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1181.0,110000000,299268508,False,False
tt6905442,High Voltage,Hollow Body,0,2018,92,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3.8,345.0,20000000,34560577,False,False
