,# director_name
1230,Nicholas Jarecki
1231,John Cameron Mitchell
1232,Nick Murphy
1233,Ramesh Sippy
1234,Sacha Gervasi
1235,Michael Caton-Jones
1236,Jean-Pierre Dardenne
1237,Luc Dardenne
1238,Peter Howitt
1239,Tom Dey
1240,Joby Harold
1241,Ted Post
1242,Steve Antin
1243,Anders Thomas Jensen
1244,Justin Kurzel
1245,Ben Lewin
1246,Andrew Jarecki
1247,David Anspaugh
1248,Dominic Sena
1249,Jamie Uys
1250,Ron Underwood
1251,David Mackenzie
1252,J. Lee Thompson
1253,Frank Marshall
1254,Yann Demange
1255,Felix van Groeningen
1256,Danis Tanovic
1257,Nicolas Roeg
1258,Neil Armfield
1259,Pippa Ehrlich
1260,James Reed
1262,Björn Runge
1263,Sebastian Schipper
1264,Tod Browning
1265,Rupert Goold
1266,Vincent Gallo
1267,Jee-woon Kim
1269,Ritesh Batra
1270,Michael Cristofer
1271,Kenneth Branagh
1272,Nacho Vigalondo
1274,Danny DeVito
1275,Floria Sigismondi
1276,Charles Shyer
1277,Lawrence Kasdan
1278,Jeannot Szwarc
1279,Sean Durkin
1280,Nikolaj Arcel
1281,Armando Iannucci
1282,Pawel Pawlikowski
1283,Hugh Hudson
1284,David Schwimmer
1286,Joachim Rønning
1287,Espen Sandberg
1288,Baran bo Odar
1289,László Nemes
1290,Emilio Estevez
1292,Tony Goldwyn
1293,Francis Veber
1294,Kornél Mundruczó
1296,Philipp Stölzl
1298,Tommy Lee Jones
1299,Henry Hathaway
1300,Wayne Wang
1301,Florian Gallenberger
1302,François Ozon
1303,Audrey Wells
1304,Michael Radford
1305,Michael Crichton
1306,Gary Sinise
1308,George Seaton
1309,Cédric Klapisch
1311,David Wnendt
1312,Jean-François Richet
1313,Richard Fleischer
1314,Peter Collinson
1315,Jonas Åkerlund
1316,Rod Lurie
1317,Uli Edel
1318,Peter Greenaway
1319,Frances H. Flaherty
1320,Maya Deren
1321,Lila Kourkoulakou
1322,Vera Chytilová
1323,Mai Zetterling
1324,Suzanne Schiffman
1325,Tonia Marketaki
1326,Oja Kodar
1327,Liliana Cavani
1328,Lina Wertmüller
1329,Margarethe von Trotta
1330,Chantal Akerman
1331,Marguerite Duras
1332,Márta Mészáros
1334,Helma Sanders-Brahms
1335,Frieda Liappa
1336,Patricia Birch
1337,Lynne Littman
1338,Amy Holden Jones
1339,Susan Seidelman
1340,Agnès Varda
1341,Antouanetta Angelidi
1342,Martha Coolidge
1343,Randa Haines
1344,Agnieszka Holland
1345,Elaine May
1346,Marisa Silver
1347,Ildikó Enyedi
1348,Euzhan Palcy
1352,Barbra Streisand
1353,Nancy Savoca
1354,Sally Potter
1356,Moufida Tlatli
1357,Noémie Lvovsky
1358,Stacy Title
1359,Amy Heckerling
1360,Marleen Gorris
1361,Diane Keaton
1362,Marie Pérennou
1366,Martha Fiennes
1367,Antonia Bird
1368,Ágnes Hranitzky
1369,Liv Ullmann
1371,Jill Sprecher
1372,Mira Nair
1373,Katerina Evangelakou
1379,Elissavet Chronopoulou
1382,Eleni Alexandraki
1383,Miranda July
1384,Jasmila Zbanic
1385,Karen Moncrieff
1387,Pascale Ferran
1389,Constantina Voulgaris
1390,Olga Malea
1391,Isabel Coixet
1394,Claire Denis
1395,Stella Theodoraki
1396,Jessica Hausner
1400,Brenda Chapman
1401,Clio Barnard
1402,Penny Panagiotopoulou
1403,Athina Rachel Tsangari
1404,Icíar Bollaín
1406,Amanda Kernell
1407,Kristina Grozeva
1408,Elina Psykou
1409,Dora Masklavanou
1410,Mariam Khatchvani
1413,Sara Colangelo
1414,Marianna Economou
1415,May el-Toukhy
1416,Aimilia Milou
1417,Evi Kalogiropoulou
1418,Alexandra Matheou
