# director_name
Frances H. Flaherty
Edgar G. Ulmer
Dusan Makavejev
Budd Boetticher
David O. Russell
Jerry Lewis
Alan Parker
Ming-liang Tsai
Dario Argento
Monte Hellman
Apichatpong Weerasethakul
Georges Franju
Victor Sjöström
Guru Dutt
Bennett Miller
Joseph H. Lewis
Jim Sheridan
Anthony Minghella
Neil Jordan
Louis Feuillade
Spike Jonze
Todd Haynes
Charles Burnett
Jean-Marie Straub
Ken Russell
Takeshi Kitano
Ousmane Sembene
Humphrey Jennings
Glauber Rocha
Luis García Berlanga
Djibril Diop Mambéty
Abel Gance
George Miller
Harold Ramis
Ben Sharpsteen
István Szabó
Philip Kaufman
Alejandro Jodorowsky
Tobe Hooper
William Dieterle
Leni Riefenstahl
Henry Hathaway
Charles Crichton
Sacha Guitry
Chantal Akerman
Claude Lanzmann
Jean Eustache
Mel Gibson
Todd Solondz
Peter Greenaway
Bob Rafelson
Michael Snow
Robert Hamer
Ermanno Olmi
Aleksandr Dovzhenko
Frederick Wiseman
Robert Mulligan
Seijun Suzuki
Shohei Imamura
Dennis Hopper
Leos Carax
Jean-Pierre Jeunet
Sam Wood
Lasse Hallström
Frank Darabont
Maurice Pialat
Elem Klimov
Herbert Ross
Richard Donner
Wolfgang Petersen
Kaige Chen
Peter Yates
Lucrecia Martel
Roger Corman
James Ivory
Paul Greengrass
Robert Benton
Curtis Hanson
Tony Richardson
Maya Deren
Mohsen Makhmalbaf
Albert Maysles
Jack Clayton
Ritwik Ghatak
Manoel de Oliveira
Zhangke Jia
King Hu
John Sayles
Robert Wiene
John G. Avildsen
Jafar Panahi
Kenneth Anger
Andrew Stanton
Stuart Rosenberg
Russ Meyer
Mikhail Kalatozov
Kim Ki-duk
Lewis Milestone
Paul Schrader
Mark Sandrich
Alexander Korda
Vsevolod Pudovkin
Cameron Crowe
Lee Unkrich
Sofia Coppola
Marcel Ophüls
Francesco Rosi
Ernest B. Schoedsack
John McTiernan
Sam Raimi
Park Chan-Wook
Andy Warhol
Martin Brest
Terence Young
Brad Bird
Adrian Lyne
Sadao Yamanaka
Hiroshi Inagaki
James Mangold
Edgar Wright
Noah Baumbach
Tony Scott
Denis Villeneuve
Bill Forsyth
Lilly Wachowski
John Lasseter
Steve McQueen
Alex Cox
Atom Egoyan
Busby Berkeley
John Landis
Jacques Audiard
Nuri Bilge Ceylan
Hiroshi Teshigahara
J. Lee Thompson
Richard Lester
Majid Majidi
Mark Robson
Miklós Jancsó
Fernando Meirelles
Stephen Daldry
Karel Reisz
Thomas Vinterberg
Jerry Schatzberg
Edward Dmytryk
Charles Vidor
Raúl Ruiz
Mu Fei
John Waters
Wes Craven
Roy Andersson
Terry Zwigoff
Andrzej Munk
Yorgos Lanthimos
Jirí Menzel
Peter Watkins
Volker Schlöndorff
D.A. Pennebaker
Kenneth Lonergan
Ettore Scola
Michel Gondry
Julian Schnabel
Michael Winterbottom
Lloyd Bacon
Edward Zwick
Lawrence Kasdan
Bruce Beresford
Rian Johnson
Bryan Forbes
Frank Lloyd
Alejandro Amenábar
Claude Autant-Lara
Olivier Assayas
Gregory La Cava
Todd Field
Brad Anderson
Bryan Singer
Gene Kelly
Delbert Mann
Ron Howard
Ida Lupino
Nanni Moretti
Tom Hooper
Guy Ritchie
Tomas Alfredson
Friðrik Þór Friðriksson
Henry King
Carlos Saura
W.S. Van Dyke
Kevin Smith
Henry Koster
Guy Hamilton
Nicolas Winding Refn
Mario Bava
Gaspar Noé
Agnieszka Holland
Roland Joffé
Terry Jones
Michael Ritchie
Walter Salles
Abel Ferrara
William Castle
Nelson Pereira dos Santos
Anatole Litvak
Asghar Farhadi
Pedro Costa
Pawel Pawlikowski
Steve James
Nick Park
Bertrand Tavernier
Walter Hill
Penny Marshall
John Badham
Hector Babenco
Luc Besson
Juan José Campanella
John Cromwell
Tom Tykwer
Guy Maddin
George Clooney
Sean Penn
Ralph Bakshi
Takashi Miike
Taylor Hackford
Michael Apted
Mike Figgis
Wolfgang Reitherman
Hirokazu Koreeda
Lukas Moodysson
Kinji Fukasaku
Julien Duvivier
Tay Garnett
Clarence Brown
Yilmaz Güney
Dino Risi
Terence Fisher
Mario Monicelli
Byron Haskin
Derek Jarman
Pete Docter
John Singleton
Hal Hartley
Carlos Reygadas
Irvin Kershner
Ivan Reitman
George Seaton
Fatih Akin
Roger Vadim
Ken Jacobs
Ivan Passer
Delmer Daves
Christopher Guest
Joshua Logan
James Bridges
Richard Kelly
Jerzy Skolimowski
M. Night Shyamalan
Edmund Goulding
Vilgot Sjöman
Grigoriy Chukhray
Kevin Costner
Joshua Oppenheimer
Catherine Breillat
Basil Dearden
Neill Blomkamp
Robert Rodriguez
Paul Haggis
Marc Forster
Sally Potter
Damien Chazelle
Gillian Armstrong
