# actor_name
Michael Lonsdale
Eddie Murphy
Thomas Bo Larsen
Gene Wilder
James Spader
Laurence Olivier
Ben Gazzara
Pilou Asbæk
Riccardo Scamarcio
David Kross
Alden Ehrenreich
Gian Maria Volontè
Macaulay Culkin
Emilio Estevez
Robert Mitchum
Martin Landau
Jack Palance
Cary Elwes
Chris Sarandon
Roger Moore
William Atherton
Taylor Kitsch
James Coburn
River Phoenix
Karl Malden
Timothée Chalamet
Ben Foster
Peter Coyote
Peter Fonda
Niels Arestrup
John Candy
Shahab Hosseini
Heino Ferch
Anatoliy Solonitsyn
Steve Coogan
Fred MacMurray
Omar Sharif
Leslie Howard
Nikolaj Coster-Waldau
John Wayne
Ralph Macchio
Sebastian Stan
Michael Cera
Kieran Culkin
Kirk Douglas
Chow Yun-Fat
Burt Reynolds
Ulrich Matthes
Ulrich Noethen
Otto Sander
Merab Ninidze
Rufus Sewell
Dominic West
Ernest Borgnine
Kyle MacLachlan
Ron Livingston
Tom Hulce
Ryan Phillippe
Stipe Erceg
Henry Cavill
Edward G. Robinson
Sam Riley
Beau Bridges
John David Washington
John Cassavetes
Tony Curtis
George Raft
Bill Pullman
Bud Cort
Chris O'Donnell
Alexander Skarsgård
Philippe Noiret
Edgar Ramírez
Jose Coronado
Richard Farnsworth
Gene Kelly
Donald O'Connor
Daniel Olbrychski
August Diehl
Nick Stahl
George Sanders
Aamir Khan
Farley Granger
Charles Laughton
Will Ferrell
Ryan O'Neal
Dominic Cooper
Bob Hoskins
George Kennedy
Zach Braff
Leonardo Sbaraglia
Gert Fröbe
Trevor Howard
Gustav Fröhlich
Terence Stamp
Brian Gleeson
Mickey Rooney
Richard Burton
Charlie Hunnam
Tom Holland
Vittorio Gassman
Sönke Möhring
Max Thieriot
Julian Sands
Tatsuya Nakadai
Adolphe Menjou
Marcello Mastroianni
Robert Ryan
Robert Hays
Leslie Nielsen
Pruitt Taylor Vince
Hardy Krüger
Jean-Louis Trintignant
Matthew Broderick
Javier Cámara
Ray Milland
Paul Bettany
Gustaf Skarsgård
Mario Casas
Patrick Dempsey
Elyas M'Barek
Jet Li
Simon Russell Beale
George Peppard
Eduardo Noriega
Fernando Cayo
Simon Helberg
Yul Brynner
Jean-Pierre Cassel
Fele Martínez
Ha Jung-woo
Nicholas Hoult
Michael Gwisdek
John Saxon
Robert Englund
Walter Matthau
Joel Grey
Jason Schwartzman
Daniel Giménez Cacho
Peter Finch
Sean Gullette
Steve Martin
Dane Cook
Darren McGavin
John Belushi
Robbie Coltrane
Ian Richardson
Jason Flemyng
Taron Egerton
Spencer Tracy
Tahar Rahim
Christopher Reeve
Robert Cummings
Alex Sharp
Sacha Baron Cohen
Tim Blake Nelson
Frederick Lau
Chazz Palminteri
Lillo Brancato
Emory Cohen
Lee Marvin
Ossie Davis
Kim Sang-kyung
Roe-ha Kim
Anton Yelchin
Juan Minujín
Luke Evans
Thomas Turgoose
Robert Vaughn
Tom Schilling
Andy Lau
Peter Weller
James Dean
Glen Hansard
Thomas Haden Church
Timothy Bottoms
Tom Hiddleston
Tim Curry
Bill Skarsgård
Jerry Lewis
Romain Duris
Tony Shalhoub
Robert Walker
Curd Jürgens
Peter Ustinov
Frank Sinatra
Jackie Coogan
Jeffrey Hunter
Ralph Richardson
Walter Huston
Sidney Poitier
Burt Lancaster
Montgomery Clift
Telly Savalas
Tyrone Power
Predrag 'Miki' Manojlovic
Maximilian Schell
Boris Karloff
Greg Wise
Buster Keaton
Fernando Rey
Sam Waterston
Richard Widmark
Topol
Raymond Massey
Dana Andrews
Kumail Nanjiani
Gary Cooper
Fernando Fernán Gómez
Klaus Kinski
Shah Rukh Khan
Jack Carson
John Gallagher Jr.
Jürgen Vogel
Max Riemelt
Warren Beatty
Kevin McCarthy
Ken Foree
Sebastian Urzendowsky
Jean-Pierre Léaud
Max Schreck
Marwan Kenzari
Judd Hirsch
Michael York
Donatas Banionis
David Niven
Bruce Campbell
Dan Hicks
Edward Arnold
Kris Kristofferson
Christopher Lambert
Robert Wagner
Michael B. Jordan
George Segal
Charlie Plummer
Rupert Everett
James Norton
Burl Ives
Michael Beck
Oskar Werner
Gaspard Ulliel
Dominique Pinon
